speciesName,monthlySightings,monthIndex
Aetea anguina,2,137
Cystisella saccata,6,137
Oshurkovia littoralis,1,137
Myriapora truncata,1,137
Leieschara coarctata M.Sars,6,137
Tubulipora fruticosa Kluge,19,138
Disporella hispida,19,138
Hornera lichenoides,19,138
Infundibulipora lucernaria,19,138
Cystisella saccata,19,138
Leieschara coarctata M.Sars,19,138
Pectinatella magnifica,1,139
Crisidia cornuta,1,145
Tubulipora liliacea,2,145
Aetea truncata,2,145
Crisidia cornuta,1,146
Tubulipora liliacea,1,146
Tubulipora phalangea Couch,1,146
Tubulipora plumosa Thompson,1,146
Entalophoroecia deflexa,1,146
Plagioecia patina,1,146
Disporella hispida,1,146
Oshurkovia littoralis,1,146
Myriapora truncata,1,147
Tubulipora liliacea,1,149
Oshurkovia littoralis,18,149
Crisidia cornuta,2,150
Tubulipora liliacea,1,150
Plagioecia patina,4,150
Oshurkovia littoralis,75,150
Oshurkovia littoralis,25,151
Oshurkovia littoralis,14,152
Oshurkovia littoralis,1,155
Oshurkovia littoralis,1,157
Oshurkovia littoralis,6,158
Oshurkovia littoralis,3,159
Disporella hispida,2,160
Phidolopora pacifica,1,160
Oshurkovia littoralis,4,160
Myriapora truncata,2,160
Disporella hispida,2,161
Oshurkovia littoralis,3,161
Crisidia cornuta,4,162
Tubulipora liliacea,1,162
Plagioecia patina,1,162
Palmiskenea skenei,1,162
Oshurkovia littoralis,5,162
Diaperoforma californica,1,163
Palmiskenea skenei,4,163
Oshurkovia littoralis,41,163
Filicrisia geniculata,2,164
Diplosolen obelium,1,164
Tubulipora liliacea,1,164
Disporella hispida,1,164
Oshurkovia littoralis,2,164
Disporella hispida,1,165
Oshurkovia littoralis,4,165
Phidolopora pacifica,1,169
Crisidia cornuta,1,171
Disporella hispida,2,171
Myriapora truncata,2,171
Oshurkovia littoralis,6,172
Oshurkovia littoralis,5,173
Plumatella emarginata Allmann,1,174
Entalophoroecia deflexa,1,174
Plagioecia patina,1,174
Disporella hispida,2,174
Oshurkovia littoralis,10,174
Myriapora truncata,1,174
Crisidia cornuta,1,175
Entalophoroecia deflexa,1,175
Disporella hispida,1,175
Aetea anguina,1,175
Oshurkovia littoralis,12,175
Myriapora truncata,1,175
Diaperoforma californica,1,176
Oshurkovia littoralis,1,176
Diplosolen obelium,1,177
Diaperoforma californica,2,177
Oshurkovia littoralis,1,177
Oshurkovia littoralis,2,178
Rhynchozoon rostratum,1,179
Diaperoforma californica,2,181
Phidolopora pacifica,7,181
Crisidia cornuta,2,183
Crisidia cornuta,2,184
Palmiskenea skenei,6,184
Rhynchozoon rostratum,1,184
Oshurkovia littoralis,2,184
Myriapora truncata,1,184
Crisidia cornuta,1,185
Tubulipora plumosa Thompson,1,185
