speciesName,year,month,monthlyIndex,sightings
Eptesicus fuscus,1981,7,18,1
Eptesicus fuscus,1982,6,29,1
Eptesicus fuscus,1986,8,79,1
Eptesicus fuscus,1987,3,86,2
Eptesicus fuscus,1987,11,94,1
Eptesicus fuscus,1992,11,154,1
Eptesicus fuscus,1993,5,160,1
Eptesicus fuscus,1993,8,163,1
Eptesicus fuscus,1994,3,170,1
Eptesicus fuscus,1994,5,172,1
Eptesicus fuscus,1995,5,184,1
Eptesicus fuscus,1996,4,195,1
Eptesicus fuscus,1997,4,207,1
Eptesicus fuscus,2000,8,247,21
Eptesicus fuscus,2000,9,248,17
Eptesicus fuscus,2000,10,249,2
Eptesicus fuscus,2001,2,253,1
Eptesicus fuscus,2001,6,257,1
Eptesicus fuscus,2001,7,258,9
Eptesicus fuscus,2002,6,269,1
Eptesicus fuscus,2003,3,278,1
Eptesicus fuscus,2003,7,282,2
Eptesicus fuscus,2003,8,283,1
Eptesicus fuscus,2003,11,286,1
Eptesicus fuscus,2004,3,290,2
Eptesicus fuscus,2004,5,292,1
Eptesicus fuscus,2004,7,294,26
Eptesicus fuscus,2004,8,295,26
Eptesicus fuscus,2005,2,301,4
Eptesicus fuscus,2005,5,304,1
Eptesicus fuscus,2005,6,305,1
Eptesicus fuscus,2005,7,306,1
Eptesicus fuscus,2005,8,307,2
Eptesicus fuscus,2005,9,308,1
Eptesicus fuscus,2005,11,310,1
Eptesicus fuscus,2006,6,317,1
Eptesicus fuscus,2006,7,318,2
Eptesicus fuscus,2006,8,319,1
Eptesicus fuscus,2006,9,320,2
Eptesicus fuscus,2007,5,328,2
Eptesicus fuscus,2007,6,329,1
Eptesicus fuscus,2007,8,331,3
Eptesicus fuscus,2007,9,332,1
Eptesicus fuscus,2007,10,333,1
Eptesicus fuscus,2008,2,337,1
Eptesicus fuscus,2008,4,339,1
Eptesicus fuscus,2008,5,340,2
Eptesicus fuscus,2008,7,342,3
Eptesicus fuscus,2008,8,343,5
Eptesicus fuscus,2008,9,344,1
Eptesicus fuscus,2008,11,346,1
Eptesicus fuscus,2009,2,349,1
Eptesicus fuscus,2009,3,350,1
Rhogeessa minutilla Miller,2009,4,351,1
Eptesicus fuscus,2009,6,353,2
Eptesicus fuscus,2009,7,354,1
Eptesicus fuscus,2009,8,355,4
Eptesicus fuscus,2009,9,356,1
Eptesicus fuscus,2010,1,360,1
Eptesicus fuscus,2010,4,363,1
Eptesicus fuscus,2010,5,364,3
Eptesicus fuscus,2010,7,366,1
Eptesicus fuscus,2010,8,367,1
Eptesicus fuscus,2010,10,369,1
Eptesicus fuscus,2010,12,371,2
Eptesicus fuscus,2011,5,376,3
Eptesicus fuscus,2011,6,377,1
Eptesicus fuscus,2011,7,378,5
Eptesicus fuscus,2011,8,379,1
Eptesicus fuscus,2011,9,380,2
Eptesicus fuscus,2011,10,381,2
Eptesicus fuscus,2011,11,382,1
Eptesicus fuscus,2012,1,384,1
Eptesicus fuscus,2012,3,386,2
Eptesicus fuscus,2012,4,387,2
Eptesicus fuscus,2012,5,388,3
Eptesicus fuscus,2012,6,389,6
Eptesicus fuscus,2012,7,390,10
Eptesicus fuscus,2012,8,391,3
Eptesicus fuscus,2012,9,392,4
Eptesicus fuscus,2012,11,394,2
Eptesicus fuscus,2013,3,398,2
Eptesicus fuscus,2013,4,399,2
Eptesicus fuscus,2013,5,400,5
Eptesicus fuscus,2013,6,401,2
Eptesicus fuscus,2013,7,402,10
Eptesicus fuscus,2013,8,403,12
Eptesicus fuscus,2013,9,404,3
Eptesicus fuscus,2013,10,405,2
Eptesicus fuscus,2014,1,408,1
Rhogeessa minutilla Miller,2014,3,410,1
Eptesicus fuscus,2014,3,410,4
Rhogeessa minutilla Miller,2014,4,411,1
Eptesicus fuscus,2014,4,411,8
Rhogeessa minutilla Miller,2014,5,412,1
Eptesicus fuscus,2014,5,412,3
Eptesicus fuscus,2014,6,413,6
Eptesicus fuscus,2014,7,414,8
Eptesicus fuscus,2014,8,415,9
Eptesicus fuscus,2014,9,416,4
Eptesicus fuscus,2014,10,417,3
Eptesicus fuscus,2014,11,418,3
Eptesicus fuscus,2014,12,419,1
Eptesicus fuscus,2015,1,420,3
Eptesicus fuscus,2015,2,421,3
Eptesicus fuscus,2015,3,422,7
Eptesicus fuscus,2015,4,423,2
Eptesicus fuscus,2015,5,424,9
Eptesicus fuscus,2015,6,425,20
Eptesicus fuscus,2015,7,426,17
Eptesicus fuscus,2015,8,427,15
Eptesicus fuscus,2015,9,428,7
Eptesicus fuscus,2015,10,429,1
Eptesicus fuscus,2015,11,430,5
Eptesicus fuscus,2015,12,431,2
Eptesicus fuscus,2016,1,432,1
Eptesicus fuscus,2016,2,433,2
Eptesicus fuscus,2016,3,434,3
Eptesicus fuscus,2016,4,435,3
Eptesicus fuscus,2016,5,436,20
Eptesicus fuscus,2016,6,437,9
Eptesicus fuscus,2016,7,438,19
Eptesicus fuscus,2016,8,439,20
Eptesicus fuscus,2016,9,440,7
Eptesicus fuscus,2016,10,441,5
Eptesicus fuscus,2016,11,442,3
Eptesicus fuscus,2016,12,443,1
Eptesicus fuscus,2017,1,444,4
Eptesicus fuscus,2017,2,445,8
Eptesicus fuscus,2017,3,446,5
Eptesicus fuscus,2017,4,447,13
Eptesicus fuscus,2017,5,448,18
Eptesicus fuscus,2017,6,449,28
Eptesicus fuscus,2017,7,450,41
Eptesicus fuscus,2017,8,451,35
Eptesicus fuscus,2017,9,452,15
Eptesicus fuscus,2017,10,453,9
Eptesicus fuscus,2017,11,454,5
Eptesicus fuscus,2017,12,455,4
Eptesicus fuscus,2018,1,456,5
Eptesicus fuscus,2018,2,457,2
Eptesicus fuscus,2018,3,458,6
Eptesicus fuscus,2018,4,459,16
Eptesicus fuscus,2018,5,460,19
Eptesicus fuscus,2018,6,461,26
Eptesicus fuscus,2018,7,462,27
Eptesicus fuscus,2018,8,463,35
Eptesicus fuscus,2018,9,464,17
Eptesicus fuscus,2018,10,465,8
Eptesicus fuscus,2018,11,466,5
Eptesicus fuscus,2018,12,467,7
Eptesicus fuscus,2019,1,468,12
Eptesicus fuscus,2019,2,469,6
Eptesicus fuscus,2019,3,470,8
Eptesicus fuscus,2019,4,471,20
Eptesicus fuscus,2019,5,472,29
Eptesicus fuscus,2019,6,473,30
Eptesicus fuscus,2019,7,474,62
Eptesicus fuscus,2019,8,475,58
Eptesicus fuscus,2019,9,476,29
Eptesicus fuscus,2019,10,477,17
Eptesicus fuscus,2019,11,478,21
Eptesicus fuscus,2019,12,479,16
Eptesicus fuscus,2020,1,480,9
Eptesicus fuscus,2020,2,481,10
Eptesicus fuscus,2020,3,482,9
Eptesicus fuscus,2020,4,483,32
Eptesicus fuscus,2020,5,484,50
Eptesicus fuscus,2020,6,485,53
Eptesicus fuscus,2020,7,486,81
Eptesicus fuscus,2020,8,487,106
Eptesicus fuscus,2020,9,488,45
Eptesicus fuscus,2020,10,489,23
Eptesicus fuscus,2020,11,490,20
Eptesicus fuscus,2020,12,491,6
Eptesicus fuscus,2021,1,492,19
Eptesicus fuscus,2021,2,493,15
Eptesicus fuscus,2021,3,494,29
Eptesicus fuscus,2021,4,495,47
Eptesicus fuscus,2021,5,496,53
Eptesicus fuscus,2021,6,497,72
Eptesicus fuscus,2021,7,498,111
Eptesicus fuscus,2021,8,499,119
Eptesicus fuscus,2021,9,500,46
Eptesicus fuscus,2021,10,501,33
Eptesicus fuscus,2021,11,502,22
Eptesicus fuscus,2021,12,503,24
Eptesicus fuscus,2022,1,504,26
Eptesicus fuscus,2022,2,505,20
Eptesicus fuscus,2022,3,506,29
Eptesicus fuscus,2022,4,507,64
Eptesicus fuscus,2022,5,508,116
Eptesicus fuscus,2022,6,509,68
Rhogeessa minutilla Miller,2022,7,510,1
Eptesicus fuscus,2022,7,510,139
Eptesicus fuscus,2022,8,511,123
Eptesicus fuscus,2022,9,512,58
Eptesicus fuscus,2022,10,513,46
Eptesicus fuscus,2022,11,514,37
Eptesicus fuscus,2022,12,515,30
Eptesicus fuscus,2023,1,516,28
Eptesicus fuscus,2023,2,517,29
Eptesicus fuscus,2023,3,518,35
Eptesicus fuscus,2023,4,519,52
Eptesicus fuscus,2023,5,520,76
Eptesicus fuscus,2023,6,521,70
Eptesicus fuscus,2023,7,522,104
Eptesicus fuscus,2023,8,523,107
Eptesicus fuscus,2023,9,524,53
Eptesicus fuscus,2023,10,525,31
Eptesicus fuscus,2023,11,526,33
Eptesicus fuscus,2023,12,527,31
Eptesicus fuscus,2024,1,528,24
Eptesicus fuscus,2024,2,529,16
Eptesicus fuscus,2024,3,530,26
Eptesicus fuscus,2024,4,531,48
Eptesicus fuscus,2024,5,532,65
Eptesicus fuscus,2024,6,533,60
Eptesicus fuscus,2024,7,534,90
Rhogeessa minutilla Miller,2024,8,535,1
Eptesicus fuscus,2024,8,535,87
Eptesicus fuscus,2024,9,536,41
Eptesicus fuscus,2024,10,537,31
Eptesicus fuscus,2024,11,538,24
Eptesicus fuscus,2024,12,539,25
